gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,label,id
0.14047387860957405,0.0007703032168526747,0.00045978609601915466,0.007188395194952513,0.001815048964394883,0.000701021857426376,0.014131597245144789,0.002828877670837837,0.0036362214516953983,0.0028015039389304164,0.0,20.0
0.2941291184573971,0.0007703032168526747,0.00045978609601915466,0.007188395194952513,0.001815048964394883,0.000701021857426376,0.014131597245144789,0.002828877670837837,0.0036362214516953983,0.0028015039389304164,1.0,20.0
0.10631954137913979,0.0007455312529645042,0.0005969514993355851,0.006587540231574263,0.007489436526586513,0.001612447935175343,0.024724266925160165,0.00321170960703121,0.006624873271819265,0.038487646574786094,0.0,21.0
0.2819911752108788,0.0007455312529645042,0.0005969514993355851,0.006587540231574263,0.007489436526586513,0.001612447935175343,0.024724266925160165,0.00321170960703121,0.006624873271819265,0.038487646574786094,1.0,21.0
0.1233214545071637,0.0006912355130359593,0.0006529873274629949,0.021140074677030274,0.0024432412392259018,0.0005723082724866657,0.012674562431753245,0.0025888588368050414,0.007976769651684812,-0.028291693035654708,0.0,22.0
0.22201437963085047,0.0006912355130359593,0.0006529873274629949,0.021140074677030274,0.0024432412392259018,0.0005723082724866657,0.012674562431753245,0.0025888588368050414,0.007976769651684812,-0.028291693035654708,1.0,22.0
0.17652839472294568,0.0008628515195936437,0.0008555236368525954,0.031279799536112485,0.004216566251050935,0.0008136773520610596,0.01771869505746393,0.003897877122359006,0.017121896042832763,-0.013250723604184333,0.0,23.0
0.36102247619614536,0.0008628515195936437,0.0008555236368525954,0.031279799536112485,0.004216566251050935,0.0008136773520610596,0.01771869505746393,0.003897877122359006,0.017121896042832763,-0.013250723604184333,1.0,23.0
0.14606621536609365,0.000750040495700155,0.0008650875120377322,0.04542193164870767,0.006138689038112322,0.0013016778135637175,0.012837992965237355,0.0034966606801636324,0.016077386360256796,-0.011337189527903524,0.0,24.0
0.25374565241872116,0.000750040495700155,0.0008650875120377322,0.04542193164870767,0.006138689038112322,0.0013016778135637175,0.012837992965237355,0.0034966606801636324,0.016077386360256796,-0.011337189527903524,1.0,24.0
