poisson_1,label,id
-38.068901401260064,1.0,36.0
-17.748714986233153,0.0,37.0
-32.56171138726677,1.0,37.0
-16.895544894171962,0.0,38.0
-33.25255585121113,1.0,38.0
-25.077832256193233,0.0,39.0
-39.0902847749735,1.0,39.0
-44.70779348881297,0.0,40.0
-96.48109294193819,1.0,40.0
-28.26083525563172,0.0,41.0
-47.60589524607212,1.0,41.0
-19.288178491919098,0.0,42.0
-37.289370360877456,1.0,42.0
-18.899576925808105,0.0,43.0
-28.96932423669523,1.0,43.0
-19.36415810612243,0.0,44.0
-33.30893260736639,1.0,44.0
-18.477164267674198,0.0,45.0
-36.785467765382236,1.0,45.0
-27.336189282687883,0.0,46.0
-46.951121992156914,1.0,46.0
-40.82693535729004,0.0,47.0
-50.69913328892471,1.0,47.0
-32.64772069494029,0.0,48.0
-42.18870800010973,1.0,48.0
-19.286531295956138,0.0,49.0
-35.991253553153,1.0,49.0
-16.963726436703837,0.0,50.0
-29.478872845016667,1.0,50.0
-18.679992660922835,0.0,51.0
-33.27996437736874,1.0,51.0
-18.321861781716052,0.0,52.0
-38.450102566011765,1.0,52.0
-20.551937316294243,0.0,53.0
-37.80914555966547,1.0,53.0
-37.79121782334596,0.0,54.0
-53.35852817744353,1.0,54.0
-28.047629923679324,0.0,55.0
-47.86879802069552,1.0,55.0
-16.544650818764694,0.0,56.0
-41.1599911952419,1.0,56.0
-14.983538235040669,0.0,57.0
-34.63067239670545,1.0,57.0
-15.976199562614966,0.0,58.0
-39.10888932814942,1.0,58.0
-14.951067592261097,0.0,59.0
-39.33952795833875,1.0,59.0
-19.88393570468952,0.0,60.0
-51.60031699045112,1.0,60.0
-30.64486219823084,0.0,61.0
-48.5065983442164,1.0,61.0
-25.65634311841677,0.0,62.0
-45.26038310368904,1.0,62.0
-16.38945146785909,0.0,63.0
-39.822436655734236,1.0,63.0
-13.592288923965043,0.0,64.0
-35.278171354713095,1.0,64.0
-14.959088355547465,0.0,65.0
-37.6563625080712,1.0,65.0
-16.48644925888061,0.0,66.0
-35.30599402919711,1.0,66.0
-18.185389338161485,0.0,67.0
-41.44714518635237,1.0,67.0
-25.589472274141826,0.0,68.0
-47.231855547868236,1.0,68.0
-23.289601437491456,0.0,69.0
-47.89015000222162,1.0,69.0
-15.722581463055803,0.0,70.0
-34.791355356087024,1.0,70.0
-18.216700230032984,0.0,71.0
-33.7111464759987,1.0,71.0
-17.140441088738953,0.0,72.0
-32.40767266849252,1.0,72.0
-16.339415752975583,0.0,73.0
-33.82552755648476,1.0,73.0
-23.782954331008114,0.0,74.0
-46.43445128574831,1.0,74.0
-39.1036398708884,0.0,75.0
-56.76288880681295,1.0,75.0
-30.351555361285136,0.0,76.0
-41.9790970155359,1.0,76.0
-19.31676284324658,0.0,77.0
-33.99925376394776,1.0,77.0
-16.291050116990846,0.0,78.0
-55.28326991943004,1.0,78.0
-17.260512098737763,0.0,79.0
-51.6841756275453,1.0,79.0
-16.98894058884366,0.0,80.0
-47.04945822085756,1.0,80.0
-24.40658000107578,0.0,81.0
-49.93190198867387,1.0,81.0
-35.09392285801687,0.0,82.0
-83.01413012012335,1.0,82.0
-24.964646471933975,0.0,83.0
-68.58284705242068,1.0,83.0
-14.517555412559886,0.0,84.0
-41.21317362597438,1.0,84.0
-14.671241104586898,0.0,85.0
-44.973074383834955,1.0,85.0
-13.66252778250714,0.0,86.0
-37.802308125696754,1.0,86.0
-16.182560173637512,0.0,87.0
-36.855655018202924,1.0,87.0
-20.31964329177299,0.0,88.0
-39.02954420078731,1.0,88.0
-30.01847007045353,0.0,89.0
-87.12661033117683,1.0,89.0
-19.612835413291577,0.0,90.0
-35.60874909804352,1.0,90.0
-13.372636845480883,0.0,91.0
-37.36666916548211,1.0,91.0
-18.068206378604827,0.0,92.0
-24.203043104078006,1.0,92.0
-22.341979150059387,0.0,93.0
-29.780618388974972,1.0,93.0
-20.076551675758765,0.0,94.0
-28.345454739744127,1.0,94.0
-25.05874055011236,0.0,95.0
-33.90950755983067,1.0,95.0
-35.83721314513559,0.0,96.0
-39.86168352237837,1.0,96.0
-30.578811994376338,0.0,97.0
-35.58833051017427,1.0,97.0
-18.41863266494215,0.0,98.0
-25.731724880100273,1.0,98.0
-16.942677294402984,0.0,99.0
-29.44033915442924,1.0,99.0
-17.81279122176329,0.0,100.0
-24.3450064959261,1.0,100.0
-18.25494835244126,0.0,101.0
-26.21068932580374,1.0,101.0
-26.774301021100655,0.0,102.0
-35.08309440393032,1.0,102.0
-41.50562618636013,0.0,103.0
-51.51187154679428,1.0,103.0
-25.400925404536792,0.0,104.0
-33.786445538708904,1.0,104.0
-18.705764620349782,0.0,105.0
-25.901033110657863,1.0,105.0
-15.287429039014569,0.0,106.0
-26.553299623039948,1.0,106.0
-16.018057529009184,0.0,107.0
-25.30137517685489,1.0,107.0
-15.647928056421733,0.0,108.0
-21.807154211056513,1.0,108.0
-23.83769311764081,0.0,109.0
-31.650051876125872,1.0,109.0
-43.46142381411846,0.0,110.0
-51.17497053952866,1.0,110.0
-29.81199659852973,0.0,111.0
-38.74632210608797,1.0,111.0
-16.76436175287199,0.0,112.0
-25.518557791719104,1.0,112.0
-17.724251466925125,0.0,113.0
-41.776706376952006,1.0,113.0
-19.23393749892466,0.0,114.0
-52.622936896678766,1.0,114.0
-19.104440001038256,0.0,115.0
-42.84177724765459,1.0,115.0
-28.952963285892565,0.0,116.0
-59.83282047786042,1.0,116.0
-38.782625533047394,0.0,117.0
-79.72390857594519,1.0,117.0
-28.10997735112869,0.0,118.0
-62.41815999091523,1.0,118.0
-18.995273318099407,0.0,119.0
-41.86935127760944,1.0,119.0
-14.782534754865537,0.0,120.0
-42.702248149777915,1.0,120.0
-15.648744379545406,0.0,121.0
-32.7736345899018,1.0,121.0
-16.625542111950608,0.0,122.0
-29.808783695381408,1.0,122.0
-24.151832471196485,0.0,123.0
-38.54619092295752,1.0,123.0
-40.58910619738208,0.0,124.0
-53.34833034208805,1.0,124.0
-21.961229565667963,0.0,125.0
-35.936202853426494,1.0,125.0
-16.318528991607764,0.0,126.0
