gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,label,id
0.16603123645113538,0.025005912142361364,0.004441352872210924,0.005436506883492953,0.01063618199003491,1.0,11.0
0.059368215541185876,0.015364074316988052,0.00459476839206685,0.005926545071448075,0.004063347357441405,0.0,12.0
0.12793014724584184,0.015364074316988052,0.00459476839206685,0.005926545071448075,0.004063347357441405,1.0,12.0
0.0372734712070133,0.011332320496892478,0.0021710860298647106,0.0041847938876276025,0.004451532428341842,0.0,13.0
0.08685059153469021,0.011332320496892478,0.0021710860298647106,0.0041847938876276025,0.004451532428341842,1.0,13.0
0.04336434488208152,0.01791263763037909,0.0029295164764922,0.008042730694732825,0.005975926213978244,0.0,14.0
0.10280319841978569,0.01791263763037909,0.0029295164764922,0.008042730694732825,0.005975926213978244,1.0,14.0
0.08610610925251994,0.01800166094720712,0.004532447137353568,0.00766446088531314,0.002075698419546246,0.0,15.0
0.20361231406090674,0.01800166094720712,0.004532447137353568,0.00766446088531314,0.002075698419546246,1.0,15.0
0.14319958768993946,0.019430339507467753,0.004767904048069926,0.14824886498668555,0.0025711014164149226,0.0,16.0
0.32428442114761635,0.019430339507467753,0.004767904048069926,0.14824886498668555,0.0025711014164149226,1.0,16.0
0.18372915885002783,0.019543317544520544,0.004715159247521417,0.030987366216297385,0.0025153436414244723,0.0,17.0
0.41074828433832655,0.019543317544520544,0.004715159247521417,0.030987366216297385,0.0025153436414244723,1.0,17.0
0.19661292752881288,0.01823664603931352,0.003966688902156346,0.03924665345085643,0.002808097966922052,0.0,18.0
0.47903575723209,0.01823664603931352,0.003966688902156346,0.03924665345085643,0.002808097966922052,1.0,18.0
0.05236672331522607,0.016362337130217952,0.0038291518128175106,0.009147989710498461,0.0030197303428276534,0.0,19.0
0.10157330517105123,0.016362337130217952,0.0038291518128175106,0.009147989710498461,0.0030197303428276534,1.0,19.0
0.05320460596791987,0.015647765375134348,0.003184306773235779,0.007799164339994391,0.0032314131644537447,0.0,20.0
0.11574780999077072,0.015647765375134348,0.003184306773235779,0.007799164339994391,0.0032314131644537447,1.0,20.0
0.09096583910266842,0.015028535179552716,0.0036069125105147037,0.040440314032301306,0.0028103215407688786,0.0,21.0
0.21572045112684002,0.015028535179552716,0.0036069125105147037,0.040440314032301306,0.0028103215407688786,1.0,21.0
0.1000432200361332,0.016762008845625065,0.007779146790058533,0.019159749754689592,0.002864729363952101,0.0,22.0
0.22245517351092703,0.016762008845625065,0.007779146790058533,0.019159749754689592,0.002864729363952101,1.0,22.0
0.12135493189774627,0.025353262799213905,0.014727648701837737,0.02999230963672561,0.003247208323694295,0.0,23.0
0.3183330965290381,0.025353262799213905,0.014727648701837737,0.02999230963672561,0.003247208323694295,1.0,23.0
0.16086101089880378,0.026624572781289935,0.044950775668603615,0.1237995042905653,0.003255002806722196,0.0,24.0
0.42499533578560467,0.026624572781289935,0.044950775668603615,0.1237995042905653,0.003255002806722196,1.0,24.0
0.11468380043242465,0.02845031969521683,0.010886340693375907,0.10281797370407908,0.005358454897266274,0.0,25.0
0.25299582699870315,0.02845031969521683,0.010886340693375907,0.10281797370407908,0.005358454897266274,1.0,25.0
0.06939373069584764,0.01857905650345515,0.0056172656538322485,0.013323244433654402,0.0038034526574408645,0.0,26.0
0.10293194734843913,0.01857905650345515,0.0056172656538322485,0.013323244433654402,0.0038034526574408645,1.0,26.0
0.048902086956025936,0.014127915276655578,0.004832594114338118,0.008601103728135051,0.002801025874692442,0.0,27.0
0.08312567922606995,0.014127915276655578,0.004832594114338118,0.008601103728135051,0.002801025874692442,1.0,27.0
0.10303145886490661,0.014193350909223579,0.008948659231361233,-0.05346414090811202,0.0027245681674683553,0.0,28.0
0.28000267761809994,0.014193350909223579,0.008948659231361233,-0.05346414090811202,0.0027245681674683553,1.0,28.0
0.054579935774581756,0.01520167659444649,0.002861772433655485,0.009102195430148008,0.0036641217511403923,0.0,29.0
0.15787372786423282,0.01520167659444649,0.002861772433655485,0.009102195430148008,0.0036641217511403923,1.0,29.0
0.08338365637452094,0.03611595351435781,0.003483623165176475,-0.054028983008426845,0.0050817929188502475,0.0,30.0
0.1839432504663634,0.03611595351435781,0.003483623165176475,-0.054028983008426845,0.0050817929188502475,1.0,30.0
0.10305701187442873,0.049714095785733825,0.0034882263068878316,-0.10571845275762382,0.004802864911346294,0.0,31.0
0.22524970441669456,0.049714095785733825,0.0034882263068878316,-0.10571845275762382,0.004802864911346294,1.0,31.0
0.06415828308746852,0.047082858468388444,0.003735831822727409,18.308764095724097,0.005649998999380124,0.0,32.0
0.13431184865264623,0.047082858468388444,0.003735831822727409,18.308764095724097,0.005649998999380124,1.0,32.0
0.06374309796859512,0.03232961761704889,0.004730369317633709,0.010042977642185313,0.003860447332691308,0.0,33.0
0.13359037273786845,0.03232961761704889,0.004730369317633709,0.010042977642185313,0.003860447332691308,1.0,33.0
