gamma_1,gamma_2,label,id
0.07447442292655015,0.004543150044822752,1.0,31.0
0.029953821266172298,0.004948511233359376,0.0,32.0
0.07958106845023805,0.004948511233359376,1.0,32.0
0.028304814960171232,0.005282248171424531,0.0,33.0
0.0459307428703748,0.005282248171424531,1.0,33.0
0.022012836658480417,0.0037121594820259673,0.0,34.0
0.04252761006525052,0.0037121594820259673,1.0,34.0
0.021963339629734957,0.004458908636350234,0.0,35.0
0.06888873227577808,0.004458908636350234,1.0,35.0
0.02236885827585322,0.0028694024550013353,0.0,36.0
0.04743055886316494,0.0028694024550013353,1.0,36.0
0.02763417049616379,0.0036630862235367267,0.0,37.0
0.055151251820143354,0.0036630862235367267,1.0,37.0
0.02790239980741349,0.0035873666017467443,0.0,38.0
0.060471409878119164,0.0035873666017467443,1.0,38.0
0.032700503981830664,0.0042057896480804935,0.0,39.0
0.05469290430666307,0.0042057896480804935,1.0,39.0
0.03396805448728779,0.004755840824520963,0.0,40.0
0.08231245589951142,0.004755840824520963,1.0,40.0
0.027917163336977247,0.003174252007190237,0.0,41.0
0.05035663855796546,0.003174252007190237,1.0,41.0
0.028964626116176007,0.0035093879573504516,0.0,42.0
0.06217122936142827,0.0035093879573504516,1.0,42.0
0.019409640971940867,0.003717476389451413,0.0,43.0
0.03134508990700402,0.003717476389451413,1.0,43.0
0.023495993298398243,0.00459257096815513,0.0,44.0
0.0430310773723277,0.00459257096815513,1.0,44.0
0.02412715477093519,0.00494216951940496,0.0,45.0
0.05220571648880323,0.00494216951940496,1.0,45.0
0.026550241134614794,0.0058842710668747245,0.0,46.0
0.04901843758613689,0.0058842710668747245,1.0,46.0
0.03250209538259918,0.004713006874789372,0.0,47.0
0.04172553998855655,0.004713006874789372,1.0,47.0
0.026637143422277187,0.0036678698941980947,0.0,48.0
0.035489934207288076,0.0036678698941980947,1.0,48.0
0.021885739237780033,0.0036988864966991386,0.0,49.0
0.043487488019743115,0.0036988864966991386,1.0,49.0
0.024110656026962385,0.0034379035945746317,0.0,50.0
0.04568770595994209,0.0034379035945746317,1.0,50.0
0.03664433473849016,0.004227367719238817,0.0,51.0
0.0719227597359633,0.004227367719238817,1.0,51.0
0.03534124803698946,0.004944673806535516,0.0,52.0
0.08443789146681313,0.004944673806535516,1.0,52.0
0.02965859220311229,0.0049273160888834155,0.0,53.0
0.05988012675203391,0.0049273160888834155,1.0,53.0
0.03105162033038278,0.004646993053445847,0.0,54.0
0.046154215461962966,0.004646993053445847,1.0,54.0
0.027878145631338835,0.004288262810103749,0.0,55.0
0.05227407161128772,0.004288262810103749,1.0,55.0
0.02973621717028818,0.004746535905244098,0.0,56.0
0.08674720617285425,0.004746535905244098,1.0,56.0
0.01655666930665811,0.0035409858006123507,0.0,57.0
0.042149777772428454,0.0035409858006123507,1.0,57.0
0.020362613461403,0.003633536727657649,0.0,58.0
0.05511540532441295,0.003633536727657649,1.0,58.0
0.02095663234383549,0.00315468618001713,0.0,59.0
0.061417294579053205,0.00315468618001713,1.0,59.0
0.022953456590423027,0.003377685015719223,0.0,60.0
0.06624078908882414,0.003377685015719223,1.0,60.0
0.024600332314844042,0.004236439396143599,0.0,61.0
0.04153890389041681,0.004236439396143599,1.0,61.0
0.021836096799556337,0.004330929519885451,0.0,62.0
0.04182496367820088,0.004330929519885451,1.0,62.0
0.01809037528045243,0.0036149683698956103,0.0,63.0
0.04824805875401639,0.0036149683698956103,1.0,63.0
0.022614579123467315,0.003284342795288886,0.0,64.0
0.06699409843294069,0.003284342795288886,1.0,64.0
0.03832358290698634,0.003927278350716712,0.0,65.0
0.112344081127433,0.003927278350716712,1.0,65.0
0.037322437990681134,0.005406736259070399,0.0,66.0
0.09134472464214705,0.005406736259070399,1.0,66.0
0.03254062612387676,0.004808029224083299,0.0,67.0
0.08415292730107105,0.004808029224083299,1.0,67.0
0.0267410038885032,0.004065230033406753,0.0,68.0
0.05400749612993527,0.004065230033406753,1.0,68.0
0.023389419332361605,0.003840534445712418,0.0,69.0
0.05265800595569603,0.003840534445712418,1.0,69.0
0.03635550202826732,0.004534866666024762,0.0,70.0
0.0941554422389288,0.004534866666024762,1.0,70.0
0.022093398046047152,0.00382719027601075,0.0,71.0
0.044892539314215885,0.00382719027601075,1.0,71.0
