poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,label,id
-22.834846881666294,-0.28733255798204027,-0.07799995663756931,-2.4263899931910373,-0.4301165704025607,-0.25488927037355325,-1.25998929287573,-0.3492213312806598,-0.45413793616376097,-0.20904289043289737,0.0,6.0
-65.87435079675913,-0.28733255798204027,-0.07799995663756931,-2.4263899931910373,-0.4301165704025607,-0.25488927037355325,-1.25998929287573,-0.3492213312806598,-0.45413793616376097,-0.20904289043289737,1.0,6.0
-16.506107784009828,-0.17247628237851131,-0.04108986298328432,-1.6703551006551152,-0.3678902231408472,-0.23363097706248936,-0.9376592386099105,-0.23515362028285836,-0.35777078646964355,-0.20387715211995783,0.0,7.0
-73.27022188098738,-0.17247628237851131,-0.04108986298328432,-1.6703551006551152,-0.3678902231408472,-0.23363097706248936,-0.9376592386099105,-0.23515362028285836,-0.35777078646964355,-0.20387715211995783,1.0,7.0
-16.126763820794793,-0.10543814925324568,-0.03130274593905824,-1.9795563972303398,-0.34581731550997574,-0.1616722033854785,-0.970260767664854,-0.404430348433209,-0.4817191412520856,-0.25788908949715506,0.0,8.0
-31.132593660130397,-0.10543814925324568,-0.03130274593905824,-1.9795563972303398,-0.34581731550997574,-0.1616722033854785,-0.970260767664854,-0.404430348433209,-0.4817191412520856,-0.25788908949715506,1.0,8.0
-17.92543637825605,-0.08275626884108078,-0.1116708024969455,-1.9411086379057565,-0.29928432623080425,-0.11424012412095408,-1.4328777366297913,-0.6222281550437287,-0.580017323409038,-0.3112030063691691,0.0,9.0
-30.87003358483048,-0.08275626884108078,-0.1116708024969455,-1.9411086379057565,-0.29928432623080425,-0.11424012412095408,-1.4328777366297913,-0.6222281550437287,-0.580017323409038,-0.3112030063691691,1.0,9.0
-16.04052481143401,-0.08172733995161252,-0.0872338085772526,-1.7154127364912028,-0.2682614836398898,-0.11173369033855352,-1.0426110812541083,-0.4351478214425697,-0.3755536245450344,-0.24544222481335964,0.0,10.0
-30.159836336955266,-0.08172733995161252,-0.0872338085772526,-1.7154127364912028,-0.2682614836398898,-0.11173369033855352,-1.0426110812541083,-0.4351478214425697,-0.3755536245450344,-0.24544222481335964,1.0,10.0
-20.916820131157124,-0.22241545688018505,-0.2266921162913036,-2.064685707983358,-0.3070659734131027,-0.1142765905456713,-1.2380789553947125,-0.4771367058869487,-0.6242381294414372,-0.4934275630382672,0.0,11.0
