gamma_1,label,id
0.013112297030676068,0.0,156.0
0.024462550855909093,1.0,156.0
0.013519667893728382,0.0,157.0
0.02473814446335032,1.0,157.0
0.01820314569956505,0.0,158.0
0.02690156782036368,1.0,158.0
0.022377253695679222,0.0,159.0
0.03109582713258785,1.0,159.0
0.01883189601762414,0.0,160.0
0.027652077642884354,1.0,160.0
0.014712896299209355,0.0,161.0
0.025940211906410493,1.0,161.0
0.012108783048619731,0.0,162.0
0.024717042250514965,1.0,162.0
0.013679706230677269,0.0,163.0
0.029171489515085636,1.0,163.0
0.013186196439041176,0.0,164.0
0.025532965357285775,1.0,164.0
0.015867085056153307,0.0,165.0
0.04566880053229605,1.0,165.0
0.019163013730028045,0.0,166.0
0.05125835590317207,1.0,166.0
0.01652267332284163,0.0,167.0
0.059698359741267915,1.0,167.0
0.014741029660562788,0.0,168.0
0.030027929274356602,1.0,168.0
0.014242260672609586,0.0,169.0
0.027490609249529285,1.0,169.0
0.012953251641877994,0.0,170.0
0.025148634135699233,1.0,170.0
0.013539280052969893,0.0,171.0
0.02735433053532521,1.0,171.0
0.016248081893203814,0.0,172.0
0.02817594682927238,1.0,172.0
0.019283808376397538,0.0,173.0
0.036991191112837996,1.0,173.0
0.016221056684366353,0.0,174.0
0.026377950898947677,1.0,174.0
0.01381705797941768,0.0,175.0
0.026857523456007115,1.0,175.0
0.012267164151913867,0.0,176.0
0.020995268470021866,1.0,176.0
0.011373989593153944,0.0,177.0
0.023743930574072092,1.0,177.0
0.012027400917477227,0.0,178.0
0.024944804689644773,1.0,178.0
0.015069194556936338,0.0,179.0
0.0281132030814244,1.0,179.0
0.02115788621727388,0.0,180.0
0.0421217652698096,1.0,180.0
0.014688065277213003,0.0,181.0
0.028931601418658914,1.0,181.0
0.011744828811401042,0.0,182.0
0.033298119429604256,1.0,182.0
0.013428883645584033,0.0,183.0
0.026140120053160132,1.0,183.0
0.014138479918327729,0.0,184.0
0.028420492078879978,1.0,184.0
0.015224213628185712,0.0,185.0
0.02856631295024581,1.0,185.0
0.01767018179037283,0.0,186.0
0.030855358399984656,1.0,186.0
0.022157999356241742,0.0,187.0
0.030336020882844927,1.0,187.0
0.015371287036122006,0.0,188.0
0.027384252698644307,1.0,188.0
0.01399029249453454,0.0,189.0
0.026169124824957812,1.0,189.0
0.013276027962553005,0.0,190.0
0.017111017674559026,1.0,190.0
0.01361608081300636,0.0,191.0
0.01659328896362,1.0,191.0
0.012983860741382358,0.0,192.0
0.015924670234025218,1.0,192.0
0.01784051542578302,0.0,193.0
0.02042415266649833,1.0,193.0
0.019161323526401652,0.0,194.0
0.021135911443558086,1.0,194.0
0.017606064249591213,0.0,195.0
0.020740673717602576,1.0,195.0
0.016697992553364127,0.0,196.0
0.019365789733901906,1.0,196.0
0.01277485458533123,0.0,197.0
0.02860210423199394,1.0,197.0
0.01294936929521917,0.0,198.0
0.02893967449217616,1.0,198.0
0.012281228853450177,0.0,199.0
0.027441791504107638,1.0,199.0
0.014661272984536566,0.0,200.0
0.029556585941398428,1.0,200.0
0.017728802287959144,0.0,201.0
0.030181062165005823,1.0,201.0
0.015416152424128526,0.0,202.0
0.032818199079372334,1.0,202.0
0.01322442021588044,0.0,203.0
0.030999028874432177,1.0,203.0
0.013231039050792148,0.0,204.0
0.04673672679736862,1.0,204.0
0.014185147423694033,0.0,205.0
0.042521018598391525,1.0,205.0
0.01433197823560528,0.0,206.0
0.042515250742328536,1.0,206.0
0.018410186771606885,0.0,207.0
0.0535569816966297,1.0,207.0
0.02143288083152184,0.0,208.0
0.058846071151536616,1.0,208.0
0.01682495339512613,0.0,209.0
0.05891039437800094,1.0,209.0
0.01434224243888016,0.0,210.0
0.04315338492504628,1.0,210.0
0.013932889394109083,0.0,211.0
0.02034941799096046,1.0,211.0
0.012839771875154504,0.0,212.0
0.018008049637189938,1.0,212.0
0.013138283487906133,0.0,213.0
0.01823053584242551,1.0,213.0
0.01850096165890447,0.0,214.0
0.0231034232575813,1.0,214.0
0.019933932865284998,0.0,215.0
0.022955015278284918,1.0,215.0
0.015913752669348913,0.0,216.0
