poisson_1,poisson_2,poisson_3,poisson_4,label,id
-23.09874936507356,-1.7851648015895307,-0.8568193026388826,-0.6209408478604246,1.0,28.0
-14.931916435946846,-2.2514711958388034,-1.0076936729682302,-1.0370029732641797,0.0,29.0
-43.46586526865701,-2.2514711958388034,-1.0076936729682302,-1.0370029732641797,1.0,29.0
-12.662811033009348,-1.8379337819475268,-1.0669913694892443,-0.8411054209979056,0.0,30.0
-34.08492276187644,-1.8379337819475268,-1.0669913694892443,-0.8411054209979056,1.0,30.0
-12.668179024964047,-1.8769623237337782,-1.1354018344201222,-0.9314061846591812,0.0,31.0
-36.41364011297287,-1.8769623237337782,-1.1354018344201222,-0.9314061846591812,1.0,31.0
-18.711220893128825,-2.216613487535483,-1.8914628679269185,-0.8906400499226947,0.0,32.0
-43.41988738635587,-2.216613487535483,-1.8914628679269185,-0.8906400499226947,1.0,32.0
-32.88060386702318,-7.334651782427727,-3.1915140327279232,-2.0267084422869175,0.0,33.0
-56.45520417651642,-7.334651782427727,-3.1915140327279232,-2.0267084422869175,1.0,33.0
-21.921545110827196,-3.9523352671684506,-2.4419639390880548,-2.1037182904453857,0.0,34.0
-45.817641546440655,-3.9523352671684506,-2.4419639390880548,-2.1037182904453857,1.0,34.0
-14.256623931332456,-1.8658850968037086,-1.5821152862112058,-1.3162988534961642,0.0,35.0
-45.62238039067438,-1.8658850968037086,-1.5821152862112058,-1.3162988534961642,1.0,35.0
-11.278694440588197,-0.7695583133531727,-0.908556253079837,-0.8849070541534729,0.0,36.0
-29.448771240721953,-0.7695583133531727,-0.908556253079837,-0.8849070541534729,1.0,36.0
-12.50165236811847,-1.1421573920813444,-1.298684952302608,-1.188912285619324,0.0,37.0
-37.440726199348774,-1.1421573920813444,-1.298684952302608,-1.188912285619324,1.0,37.0
-11.936912581347315,-1.09489678502905,-1.3675774093288169,-1.2256562599881136,0.0,38.0
-34.660265502917696,-1.09489678502905,-1.3675774093288169,-1.2256562599881136,1.0,38.0
