poisson_1,poisson_2,label,id
-48.64074806832468,-2.398842056727972,1.0,51.0
-22.1078227242333,-2.008438632540674,0.0,52.0
-52.641434944332104,-2.008438632540674,1.0,52.0
-33.23683578477676,-3.827387147786567,0.0,53.0
-58.51916799778019,-3.827387147786567,1.0,53.0
-45.02608383924826,-7.242515451615873,0.0,54.0
-71.50498554608748,-7.242515451615873,1.0,54.0
-27.694889179745587,-4.140516260673394,0.0,55.0
-57.352921429154776,-4.140516260673394,1.0,55.0
-21.620206276528506,-3.090663394899593,0.0,56.0
-52.327355805465686,-3.090663394899593,1.0,56.0
-18.802795008216208,-2.2794451144363848,0.0,57.0
-40.42420950030987,-2.2794451144363848,1.0,57.0
-17.639873873066108,-1.7050672126672453,0.0,58.0
-31.95803658810223,-1.7050672126672453,1.0,58.0
-19.10037326884003,-2.282041141630316,0.0,59.0
-33.71886710271792,-2.282041141630316,1.0,59.0
-27.82781268583676,-2.9885426843084133,0.0,60.0
-47.679586520480825,-2.9885426843084133,1.0,60.0
-39.90068801725329,-4.941439987811009,0.0,61.0
-62.808026981727835,-4.941439987811009,1.0,61.0
-22.3815495459221,-2.330498059081947,0.0,62.0
-46.8401173613388,-2.330498059081947,1.0,62.0
-17.026787225402586,-1.7111933736173341,0.0,63.0
-38.165426118002415,-1.7111933736173341,1.0,63.0
-21.599985515802018,-2.2202929088878136,0.0,64.0
-35.657673921574315,-2.2202929088878136,1.0,64.0
-18.62713484312235,-1.4782525602195165,0.0,65.0
-34.85312043009117,-1.4782525602195165,1.0,65.0
-20.517663255342086,-1.5014111819662048,0.0,66.0
-37.85496802046737,-1.5014111819662048,1.0,66.0
-26.536711217355332,-2.380336587288639,0.0,67.0
-40.21550292526672,-2.380336587288639,1.0,67.0
-41.450889494434705,-4.215540298679116,0.0,68.0
-65.27247601448107,-4.215540298679116,1.0,68.0
-30.55609465271891,-2.7425618447744,0.0,69.0
-56.31376302629633,-2.7425618447744,1.0,69.0
-23.3560839939596,-1.7377212410874563,0.0,70.0
-37.32694713789624,-1.7377212410874563,1.0,70.0
-22.115941733777163,-2.4556673515066905,0.0,71.0
-30.946832442681625,-2.4556673515066905,1.0,71.0
-20.910246954842933,-2.079914513404674,0.0,72.0
-32.23006660983856,-2.079914513404674,1.0,72.0
-20.11253959833175,-2.057894494635093,0.0,73.0
-28.91987794025499,-2.057894494635093,1.0,73.0
-22.582587205691198,-3.2037719689578807,0.0,74.0
-36.94515126063925,-3.2037719689578807,1.0,74.0
-35.54427478732396,-5.649913452474266,0.0,75.0
-56.747850794661645,-5.649913452474266,1.0,75.0
-27.767524126280478,-4.023654292581341,0.0,76.0
-39.07290262420247,-4.023654292581341,1.0,76.0
-20.504017080151698,-2.79917805145692,0.0,77.0
-31.25742537352562,-2.79917805145692,1.0,77.0
-21.032326659566024,-2.405003387247916,0.0,78.0
-34.519133297584176,-2.405003387247916,1.0,78.0
-18.326154506924468,-1.97712196346356,0.0,79.0
-30.00550262331626,-1.97712196346356,1.0,79.0
-19.429420183172624,-2.1037559750009223,0.0,80.0
-32.090329150059006,-2.1037559750009223,1.0,80.0
-27.7410301205623,-2.62023374698083,0.0,81.0
-38.01670649310563,-2.62023374698083,1.0,81.0
-46.566746477988545,-4.938486568170447,0.0,82.0
-61.9664410213727,-4.938486568170447,1.0,82.0
-24.512327030663073,-2.5642529783970076,0.0,83.0
-40.46336371051848,-2.5642529783970076,1.0,83.0
-23.36560301536997,-2.4629662418321914,0.0,84.0
-33.61782741033835,-2.4629662418321914,1.0,84.0
-21.59672392853554,-2.122529379274283,0.0,85.0
-36.952888101853205,-2.122529379274283,1.0,85.0
-16.939390036918212,-1.726670831495312,0.0,86.0
-27.99891463118547,-1.726670831495312,1.0,86.0
-17.706408848051296,-1.767677571965578,0.0,87.0
-31.05151040562032,-1.767677571965578,1.0,87.0
-21.6472889276597,-2.284269779722308,0.0,88.0
-36.27204410628474,-2.284269779722308,1.0,88.0
-34.66306529402664,-2.6372472399505114,0.0,89.0
-70.76872474491029,-2.6372472399505114,1.0,89.0
-25.885223880242393,-2.8176707388361137,0.0,90.0
-41.23502881515151,-2.8176707388361137,1.0,90.0
-21.409519906370406,-2.326535665925121,0.0,91.0
-36.72550627917781,-2.326535665925121,1.0,91.0
-22.420189942521574,-2.41075528806914,0.0,92.0
-23.878136860118047,-2.41075528806914,1.0,92.0
-21.03201442557588,-2.505780880249631,0.0,93.0
-28.02673891515974,-2.505780880249631,1.0,93.0
-21.795622652126895,-2.262961247701014,0.0,94.0
-32.97486667983685,-2.262961247701014,1.0,94.0
-40.1258959549109,-5.241053147321509,0.0,95.0
-57.18420625643739,-5.241053147321509,1.0,95.0
-50.03997547847894,-5.714929743824541,0.0,96.0
-67.67167496439106,-5.714929743824541,1.0,96.0
-26.52574924127248,-2.8979698472016935,0.0,97.0
-55.864349708760074,-2.8979698472016935,1.0,97.0
-24.684579684976597,-2.999575039248384,0.0,98.0
-50.80944084519615,-2.999575039248384,1.0,98.0
-22.705909412441997,-2.6688108717839896,0.0,99.0
-48.93472850150556,-2.6688108717839896,1.0,99.0
-19.660991357773582,-1.971832300032247,0.0,100.0
-30.87239884327846,-1.971832300032247,1.0,100.0
-20.483870164281825,-2.144613516152731,0.0,101.0
-35.9619084566923,-2.144613516152731,1.0,101.0
-25.490500257787517,-3.611027651278846,0.0,102.0
-38.08772530784336,-3.611027651278846,1.0,102.0
-39.431915613136425,-5.766141838171279,0.0,103.0
-60.743728227364045,-5.766141838171279,1.0,103.0
-30.547504268380635,-5.011957439228581,0.0,104.0
-60.51695278484158,-5.011957439228581,1.0,104.0
-22.14046170964184,-3.053098626078281,0.0,105.0
-52.08380682835468,-3.053098626078281,1.0,105.0
-18.63559151700747,-2.0519262414520654,0.0,106.0
-28.00897361155694,-2.0519262414520654,1.0,106.0
-20.11866629834458,-2.1067114118602603,0.0,107.0
-29.826325178418756,-2.1067114118602603,1.0,107.0
-20.124186995228683,-2.077562402249896,0.0,108.0
-29.874133177168005,-2.077562402249896,1.0,108.0
-28.806398250918846,-3.214163176883403,0.0,109.0
-38.45293922283554,-3.214163176883403,1.0,109.0
-46.52097038740794,-4.340798454210699,0.0,110.0
-56.12369111820635,-4.340798454210699,1.0,110.0
-25.222460370986482,-2.732757454547709,0.0,111.0
-35.073802905342745,-2.732757454547709,1.0,111.0
-23.439656354326416,-2.3290567435726643,0.0,112.0
-38.060220100731385,-2.3290567435726643,1.0,112.0
-19.660193017004758,-1.8217383125177093,0.0,113.0
-38.295684606084706,-1.8217383125177093,1.0,113.0
-20.632074100276895,-2.0329070804864386,0.0,114.0
-48.44610315913087,-2.0329070804864386,1.0,114.0
-20.73809648673273,-2.2279992670596585,0.0,115.0
-44.74221142453848,-2.2279992670596585,1.0,115.0
-25.730680149878935,-3.6202102412132717,0.0,116.0
-48.81039413795361,-3.6202102412132717,1.0,116.0
-36.2107040616761,-4.006856459939854,0.0,117.0
-61.3184441890935,-4.006856459939854,1.0,117.0
-23.78701163039659,-2.1656574664925756,0.0,118.0
-49.31985969829702,-2.1656574664925756,1.0,118.0
-22.009266073057006,-1.9281233046369834,0.0,119.0
-53.52409798279723,-1.9281233046369834,1.0,119.0
-17.717007844117234,-2.061563981947984,0.0,120.0
-46.03485222185327,-2.061563981947984,1.0,120.0
