cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
283.433756,372.530905,341.858823,293.849435,370.178518,13.255847,14.354988,23.784334,26.878517,-3.414844,14.556685,29.151852,18.650543,76.916519,20.336956,13.384956,21.854441,53.143053,39.511903,6.320859,76.839699,9.736372,32.739259,69.376573,18.216319,12.55151,28.812551,20.452364,30.390478,14.491331,18.671085,24.98784,40.057119,29.294329,-5.329367,14.07029,49.53112,40.079775,140.479275,17.383801,10.831876,79.602652,44.298085,-1.898798,54.238062,14.381469,18.515565,10.928356,18.578876,13.532332,22.530182,56.592494,5.527513,21.080759,42.018587,36.231096,21.23985,81.035059,23.221471,15.6596,0.0,6.0
283.433756,372.530905,341.858823,293.849435,370.178518,7.849313,14.354988,23.784334,26.878517,-3.414844,14.556685,29.151852,18.650543,76.916519,20.336956,13.384956,21.854441,53.143053,39.511903,6.320859,76.839699,9.736372,32.739259,69.376573,18.216319,12.55151,28.812551,20.452364,30.390478,14.491331,18.671085,24.98784,40.057119,29.294329,-5.329367,14.07029,49.53112,40.079775,140.479275,17.383801,10.831876,79.602652,44.298085,-1.898798,54.238062,14.381469,18.515565,10.928356,18.578876,13.532332,22.530182,56.592494,5.527513,21.080759,42.018587,36.231096,21.23985,81.035059,23.221471,15.6596,1.0,6.0
255.003294,319.309207,139.705145,171.451912,237.793049,6.982848,2.050103,8.416529,18.855684,-13.390577,13.52703,30.017616,10.622394,111.173187,18.942902,14.374106,25.962948,39.088042,26.143346,-2.694142,74.748951,15.768214,26.045852,85.365977,15.325453,13.319147,11.371096,12.644588,25.354803,7.508976,-8.963887,20.010548,39.522958,23.294934,-11.062507,-3.135342,16.90267,26.647182,37.572002,3.21228,3.234648,52.07888,37.392677,-17.450813,30.556082,8.006948,15.243782,10.349186,11.496871,13.926746,10.022201,34.201733,3.136466,18.136014,32.720526,28.729469,17.007481,32.578503,19.954931,9.380401,0.0,7.0
255.003294,319.309207,139.705145,171.451912,237.793049,-2.881387,2.050103,8.416529,18.855684,-13.390577,13.52703,30.017616,10.622394,111.173187,18.942902,14.374106,25.962948,39.088042,26.143346,-2.694142,74.748951,15.768214,26.045852,85.365977,15.325453,13.319147,11.371096,12.644588,25.354803,7.508976,-8.963887,20.010548,39.522958,23.294934,-11.062507,-3.135342,16.90267,26.647182,37.572002,3.21228,3.234648,52.07888,37.392677,-17.450813,30.556082,8.006948,15.243782,10.349186,11.496871,13.926746,10.022201,34.201733,3.136466,18.136014,32.720526,28.729469,17.007481,32.578503,19.954931,9.380401,1.0,7.0
282.439673,235.251568,173.372077,286.53119,220.789719,14.732932,18.283359,35.338708,12.90641,77.03976,18.645926,9.012672,20.449839,20.04975,4.961134,23.470527,19.301658,14.577533,52.502095,13.43071,3.125482,13.093936,31.99415,28.503323,14.674821,35.801599,10.210918,14.966962,28.191498,54.761951,-13.341713,61.980063,21.942327,14.319639,15.877492,24.620997,34.689092,22.562257,10.978118,2.05448,7.692498,20.137744,12.025356,8.662763,33.837533,34.942212,26.165887,6.35019,13.849808,16.58803,20.901247,20.085173,33.19983,37.408934,8.138726,19.212509,6.931214,37.646529,14.245768,22.448456,0.0,8.0
282.439673,235.251568,173.372077,286.53119,220.789719,14.732932,7.312761,35.338708,12.90641,77.03976,18.645926,9.012672,20.449839,20.04975,4.961134,23.470527,19.301658,14.577533,52.502095,13.43071,3.125482,13.093936,31.99415,28.503323,14.674821,35.801599,10.210918,14.966962,28.191498,54.761951,-13.341713,61.980063,21.942327,14.319639,15.877492,24.620997,34.689092,22.562257,10.978118,2.05448,7.692498,20.137744,12.025356,8.662763,33.837533,34.942212,26.165887,6.35019,13.849808,16.58803,20.901247,20.085173,33.19983,37.408934,8.138726,19.212509,6.931214,37.646529,14.245768,22.448456,1.0,8.0
152.263506,277.490695,130.776291,227.547248,267.176981,11.607228,13.138336,4.122216,-19.517126,35.887841,1.185383,10.561348,31.55483,18.964577,3.345861,18.384111,14.835078,19.604981,89.249048,14.590756,3.273018,12.692561,30.368229,39.670889,11.618493,34.648096,7.283952,11.93485,27.30084,20.030773,-26.515547,25.297711,37.950082,11.650305,14.870552,24.939866,41.125878,16.146281,7.622026,4.999705,12.651188,17.576193,2.643274,10.023975,37.763334,48.619419,19.256031,7.817866,11.773549,14.558454,10.986018,19.659484,34.618993,31.97145,19.561175,33.288536,9.626029,47.058554,12.149483,16.352861,0.0,9.0
152.263506,277.490695,130.776291,227.547248,267.176981,11.607228,5.254916,4.122216,-19.517126,35.887841,1.185383,10.561348,31.55483,18.964577,3.345861,18.384111,14.835078,19.604981,89.249048,14.590756,3.273018,12.692561,30.368229,39.670889,11.618493,34.648096,7.283952,11.93485,27.30084,20.030773,-26.515547,25.297711,37.950082,11.650305,14.870552,24.939866,41.125878,16.146281,7.622026,4.999705,12.651188,17.576193,2.643274,10.023975,37.763334,48.619419,19.256031,7.817866,11.773549,14.558454,10.986018,19.659484,34.618993,31.97145,19.561175,33.288536,9.626029,47.058554,12.149483,16.352861,1.0,9.0
168.302238,246.957158,124.724626,237.157066,236.737796,13.075032,18.624262,16.15793,-15.211333,46.36134,-6.633581,10.203364,21.384166,17.779456,3.136337,19.143288,16.520308,22.70305,43.871423,13.413745,8.675517,10.609749,28.96874,51.363895,14.245585,29.586721,8.806054,12.315479,24.7623,26.208663,-23.705688,62.942926,24.569413,4.131693,10.45564,28.713608,35.71856,15.572642,12.999632,-1.81575,14.257384,13.929202,-1.246653,8.451944,28.421525,34.765293,11.91033,8.846145,14.108533,14.529338,9.103968,33.765992,32.08614,37.503627,12.581442,27.283459,2.257455,39.141415,14.6534,20.032384,0.0,10.0
168.302238,246.957158,124.724626,237.157066,236.737796,13.075032,7.449112,16.15793,-15.211333,46.36134,-6.633581,10.203364,21.384166,17.779456,3.136337,19.143288,16.520308,22.70305,43.871423,13.413745,8.675517,10.609749,28.96874,51.363895,14.245585,29.586721,8.806054,12.315479,24.7623,26.208663,-23.705688,62.942926,24.569413,4.131693,10.45564,28.713608,35.71856,15.572642,12.999632,-1.81575,14.257384,13.929202,-1.246653,8.451944,28.421525,34.765293,11.91033,8.846145,14.108533,14.529338,9.103968,33.765992,32.08614,37.503627,12.581442,27.283459,2.257455,39.141415,14.6534,20.032384,1.0,10.0
