gamma_1,gamma_2,gamma_3,gamma_4,label,id
0.060753592063266026,0.012622469616208942,0.004574592669454702,0.005531281952806388,1.0,26.0
0.03363187546444113,0.008101795034650472,0.0034928491101364756,0.0044353332930251455,0.0,27.0
0.05392069526275378,0.008101795034650472,0.0034928491101364756,0.0044353332930251455,1.0,27.0
0.03349792564787624,0.010286606500428785,0.00580904901958057,0.1469722670521194,0.0,28.0
0.05296716352000441,0.010286606500428785,0.00580904901958057,0.1469722670521194,1.0,28.0
0.025761334472570674,0.007318576058973569,0.003112258802008494,0.0024315658715758914,0.0,29.0
0.07068986087469442,0.007318576058973569,0.003112258802008494,0.0024315658715758914,1.0,29.0
0.03187958778786015,0.007237946278408014,0.005292082382568619,0.003731439770162215,0.0,30.0
0.11560808754391783,0.007237946278408014,0.005292082382568619,0.003731439770162215,1.0,30.0
0.032687037653508,0.007262542044156994,0.005151487577755187,0.003797056019082312,0.0,31.0
0.11501581472220579,0.007262542044156994,0.005151487577755187,0.003797056019082312,1.0,31.0
0.03871959236738931,0.008929781409185544,0.005735117105522214,0.0041650109233448696,0.0,32.0
0.111400007268593,0.008929781409185544,0.005735117105522214,0.0041650109233448696,1.0,32.0
0.039177658900025225,0.007238615893964351,0.006553066357472215,0.00407762084557417,0.0,33.0
0.06651267124154092,0.007238615893964351,0.006553066357472215,0.00407762084557417,1.0,33.0
0.029020624035180465,0.006154427323947775,0.004462595249306034,0.0026083874637365945,0.0,34.0
0.05915325555975093,0.006154427323947775,0.004462595249306034,0.0026083874637365945,1.0,34.0
0.0275088488588886,0.008138473193254114,0.0049601006715991325,0.0038893991893811375,0.0,35.0
0.09511580297267752,0.008138473193254114,0.0049601006715991325,0.0038893991893811375,1.0,35.0
0.03718465831733786,0.006377077023677735,0.003137052958873454,0.0023194935961212693,0.0,36.0
0.08761298823914432,0.006377077023677735,0.003137052958873454,0.0023194935961212693,1.0,36.0
0.04453435664290639,0.008304381360953794,0.0038593911891151578,0.0031750074234886405,0.0,37.0
0.09855152224551667,0.008304381360953794,0.0038593911891151578,0.0031750074234886405,1.0,37.0
0.04224902166341238,0.010024804310493352,0.003659221665418766,0.003424394471535308,0.0,38.0
0.10370330086875157,0.010024804310493352,0.003659221665418766,0.003424394471535308,1.0,38.0
0.04804659883626661,0.010954885246090562,0.005141561043070286,0.00248345710078679,0.0,39.0
0.08687844195480166,0.010954885246090562,0.005141561043070286,0.00248345710078679,1.0,39.0
0.06094610515585375,0.008720442334948064,0.005258032671565882,0.00404773170318995,0.0,40.0
0.1700246761642603,0.008720442334948064,0.005258032671565882,0.00404773170318995,1.0,40.0
0.048020284815703196,0.00823859407454064,0.0038773068532766963,0.0017371128700092164,0.0,41.0
0.09563753406545716,0.00823859407454064,0.0038773068532766963,0.0017371128700092164,1.0,41.0
0.04437538965609278,0.00879848040647957,0.003955348381314838,0.002500896858475876,0.0,42.0
0.10571084207222103,0.00879848040647957,0.003955348381314838,0.002500896858475876,1.0,42.0
0.026325659032090165,0.00567992657501204,0.003488793079242658,0.0041953549938957835,0.0,43.0
