poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,label,id
-18.966718250297163,-4.754730657794653,-1.0669208656863702,-1.3314109591582337,-0.9684685621346034,1.0,64.0
-11.717395947567553,-4.248219708802708,-0.890665247147922,-1.1191882932747603,-0.7930366490692791,0.0,65.0
-22.534586910515458,-4.248219708802708,-0.890665247147922,-1.1191882932747603,-0.7930366490692791,1.0,65.0
-11.631754276764212,-4.093486965462944,-0.727453022725399,-1.3192008617574302,-0.9452924768909838,0.0,66.0
-22.551399067423148,-4.093486965462944,-0.727453022725399,-1.3192008617574302,-0.9452924768909838,1.0,66.0
-15.728594530471753,-5.593475963036326,-1.150333388316085,-1.358902975405897,-1.1832242804765656,0.0,67.0
-27.983368030022547,-5.593475963036326,-1.150333388316085,-1.358902975405897,-1.1832242804765656,1.0,67.0
-28.73049219923371,-11.116882248826187,-4.05876033516688,-2.409278866351201,-1.7865334550064063,0.0,68.0
-42.217470005303994,-11.116882248826187,-4.05876033516688,-2.409278866351201,-1.7865334550064063,1.0,68.0
-17.70349776106417,-6.03205947660399,-1.4207902442748264,-1.4556774040226514,-1.066369943490372,0.0,69.0
-31.261047313763527,-6.03205947660399,-1.4207902442748264,-1.4556774040226514,-1.066369943490372,1.0,69.0
-10.733803493923034,-3.565511405531879,-0.5408638833693544,-1.2564229293774076,-0.875985410468104,0.0,70.0
-22.761378902935235,-3.565511405531879,-0.5408638833693544,-1.2564229293774076,-0.875985410468104,1.0,70.0
-10.797891845909476,-3.780670452482525,-0.7460823922386339,-1.5071123477621313,-0.7588582117350597,0.0,71.0
-23.60816132947656,-3.780670452482525,-0.7460823922386339,-1.5071123477621313,-0.7588582117350597,1.0,71.0
-11.521186721411198,-3.8773759527547327,-0.6858597986448558,-1.5710902932540876,-0.5518021716845851,0.0,72.0
-21.40172511349627,-3.8773759527547327,-0.6858597986448558,-1.5710902932540876,-0.5518021716845851,1.0,72.0
-10.179971079450752,-3.3370739256921524,-0.5796397905083097,-1.4839490905110893,-0.5103789942447747,0.0,73.0
-19.493230602044093,-3.3370739256921524,-0.5796397905083097,-1.4839490905110893,-0.5103789942447747,1.0,73.0
-13.972785216878009,-4.462839849059321,-0.7247804336034847,-1.8480837420773923,-0.5508188736815782,0.0,74.0
-24.32756448523628,-4.462839849059321,-0.7247804336034847,-1.8480837420773923,-0.5508188736815782,1.0,74.0
