cm_1_power,cm_2_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
943.060206,628.400581,42.450191,8.769778,35.241176,-23.13336,69.849209,53.252526,6.624177,93.817256,31.232934,95.389798,50.155869,55.317117,11.546331,36.029369,-1.177881,5.150632,16.683281,54.431268,9.046257,20.780728,9.185207,18.425191,31.378424,27.314575,10.16809,18.38996,10.321119,43.052056,82.224271,-3.043665,21.422681,47.282113,16.436965,22.34356,14.762386,12.235556,17.274792,30.104944,24.423911,14.379883,72.190843,28.622096,22.331306,-2.994561,58.066663,21.902045,27.882755,59.936869,22.227098,-8.168598,26.39572,20.634741,5.253776,32.82186,23.501695,0.0,11.0
943.060206,628.400581,42.450191,-6.972089,35.241176,-23.13336,69.849209,53.252526,6.624177,93.817256,31.232934,95.389798,50.155869,55.317117,11.546331,36.029369,-1.177881,5.150632,16.683281,54.431268,9.046257,20.780728,9.185207,18.425191,31.378424,27.314575,10.16809,18.38996,10.321119,43.052056,82.224271,-3.043665,21.422681,47.282113,16.436965,22.34356,14.762386,12.235556,17.274792,30.104944,24.423911,14.379883,72.190843,28.622096,22.331306,-2.994561,58.066663,21.902045,27.882755,59.936869,22.227098,-8.168598,26.39572,20.634741,5.253776,32.82186,23.501695,1.0,11.0
1313.50431,892.70891,43.371523,46.012273,69.818191,26.718888,84.357638,61.07368,28.791081,58.059049,40.541983,112.08941,53.204309,72.21949,9.905714,33.290922,5.424014,12.947115,21.09006,32.780035,15.200337,24.056558,20.313918,19.000543,41.525645,28.381443,26.243728,19.54513,21.076452,49.714219,79.03878,29.680159,24.647015,55.319357,19.620264,117.849149,19.3148,10.054411,21.049335,23.095626,25.516743,45.256625,96.821689,60.10937,22.606751,10.403413,99.193565,24.965496,72.435138,50.553004,27.683547,1.336707,48.89564,22.519938,8.582997,57.022217,17.611321,0.0,12.0
1313.50431,892.70891,43.371523,15.323756,69.818191,26.718888,84.357638,61.07368,28.791081,58.059049,40.541983,112.08941,53.204309,72.21949,9.905714,33.290922,5.424014,12.947115,21.09006,32.780035,15.200337,24.056558,20.313918,19.000543,41.525645,28.381443,26.243728,19.54513,21.076452,49.714219,79.03878,29.680159,24.647015,55.319357,19.620264,117.849149,19.3148,10.054411,21.049335,23.095626,25.516743,45.256625,96.821689,60.10937,22.606751,10.403413,99.193565,24.965496,72.435138,50.553004,27.683547,1.336707,48.89564,22.519938,8.582997,57.022217,17.611321,1.0,12.0
1027.21221,696.98552,46.979789,24.346582,41.845158,30.178372,27.978272,19.540107,20.851634,40.61332,40.958457,89.207057,63.296768,82.217214,12.61575,30.961355,6.231918,11.741802,9.299,28.381981,15.055692,17.060321,19.190616,20.176736,37.845061,28.814579,46.104819,18.074085,29.427611,67.577771,43.203065,12.001715,26.344733,38.804855,17.816122,82.045345,14.959323,10.435205,18.464248,20.757534,29.504757,28.558769,70.856882,36.236481,26.107927,9.874864,84.068736,22.811665,24.578101,15.686574,29.000864,5.861686,35.517604,21.578546,7.120177,26.828617,17.114001,0.0,13.0
1027.21221,696.98552,46.979789,6.318725,41.845158,30.178372,27.978272,19.540107,20.851634,40.61332,40.958457,89.207057,63.296768,82.217214,12.61575,30.961355,6.231918,11.741802,9.299,28.381981,15.055692,17.060321,19.190616,20.176736,37.845061,28.814579,46.104819,18.074085,29.427611,67.577771,43.203065,12.001715,26.344733,38.804855,17.816122,82.045345,14.959323,10.435205,18.464248,20.757534,29.504757,28.558769,70.856882,36.236481,26.107927,9.874864,84.068736,22.811665,24.578101,15.686574,29.000864,5.861686,35.517604,21.578546,7.120177,26.828617,17.114001,1.0,13.0
733.699326,592.836904,39.139853,22.043784,37.4133,-10.828961,8.29556,13.573205,1.834097,39.693537,26.476893,98.377195,44.899234,37.065259,13.781556,31.254972,-0.212534,7.067826,5.942886,28.181495,6.495305,21.576261,10.149013,17.278214,23.601064,23.438387,13.086653,19.983634,15.596444,85.494627,43.457169,0.644364,23.188792,40.187771,34.990149,32.870176,23.980295,12.405764,14.969056,20.146629,30.286715,16.122352,27.028657,29.51713,17.968061,-3.420127,123.454843,24.937625,14.607785,13.553892,29.932665,-6.343755,12.666242,14.405801,0.065505,25.181732,16.431994,0.0,14.0
733.699326,592.836904,39.139853,4.840486,37.4133,-10.828961,8.29556,13.573205,1.834097,39.693537,26.476893,98.377195,44.899234,37.065259,13.781556,31.254972,-0.212534,7.067826,5.942886,28.181495,6.495305,21.576261,10.149013,17.278214,23.601064,23.438387,13.086653,19.983634,15.596444,85.494627,43.457169,0.644364,23.188792,40.187771,34.990149,32.870176,23.980295,12.405764,14.969056,20.146629,30.286715,16.122352,27.028657,29.51713,17.968061,-3.420127,123.454843,24.937625,14.607785,13.553892,29.932665,-6.343755,12.666242,14.405801,0.065505,25.181732,16.431994,1.0,14.0
748.881287,665.224313,62.553153,7.294327,24.200428,56.046425,30.239683,16.109918,70.663687,4.994156,18.662578,11.224383,49.785391,9.655246,4.978739,43.67401,7.805529,22.449936,8.445929,9.933525,14.763752,20.983742,31.563044,18.406827,23.865926,56.13856,-16.797694,17.502159,25.534308,61.610868,44.208628,18.668649,15.764939,46.764713,7.785653,20.010589,64.784733,5.744319,8.118057,13.029633,37.948453,18.680719,34.561984,9.653417,14.346337,22.862278,12.457873,37.515751,18.354773,22.855113,25.786182,28.103444,26.348376,57.116543,17.271477,31.617555,27.516282,0.0,15.0
748.881287,665.224313,62.553153,7.294327,7.290208,56.046425,30.239683,16.109918,70.663687,4.994156,18.662578,11.224383,49.785391,9.655246,4.978739,43.67401,7.805529,22.449936,8.445929,9.933525,14.763752,20.983742,31.563044,18.406827,23.865926,56.13856,-16.797694,17.502159,25.534308,61.610868,44.208628,18.668649,15.764939,46.764713,7.785653,20.010589,64.784733,5.744319,8.118057,13.029633,37.948453,18.680719,34.561984,9.653417,14.346337,22.862278,12.457873,37.515751,18.354773,22.855113,25.786182,28.103444,26.348376,57.116543,17.271477,31.617555,27.516282,1.0,15.0
